ticker,times_picked
SHRIRAMFIN,20
ADANIPORTS,17
NTPC,16
BHARTIARTL,15
M&M,14
HEROMOTOCO,14
HINDALCO,13
BAJAJ-AUTO,13
ONGC,12
EICHERMOT,12
COALINDIA,12
BPCL,12
TMPV,11
SBIN,11
DIVISLAB,11
TATASTEEL,9
POWERGRID,8
HDFCLIFE,8
BAJFINANCE,8
MARUTI,7
LT,7
INDUSINDBK,7
TITAN,6
TECHM,6
SBILIFE,6
KOTAKBANK,6
JSWSTEEL,6
BRITANNIA,6
BAJAJFINSV,6
SUNPHARMA,5
HDFCBANK,5
HCLTECH,5
ADANIENT,5
WIPRO,4
TATACONSUM,4
ICICIBANK,4
DRREDDY,4
APOLLOHOSP,4
NESTLEIND,3
INFY,3
CIPLA,3
ULTRACEMCO,2
ITC,2
GRASIM,2
AXISBANK,2
ASIANPAINT,2
RELIANCE,1
HINDUNILVR,1
